database,task_code,class_code,query,raw_hit_count,retrieved_records,retrieved_on,cutoff,api_url_template,union_included_with_query_tag
OpenAlex,R1,R,"""robotic palpation"" OR ""robot-assisted palpation"" OR ""autonomous palpation"" OR ""robot palpation"" OR ""tactile palpation robot"" OR ""robotic tactile examination""",79,79,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,63
Europe PMC,R1,R,"TITLE_ABS:""robotic palpation"" OR TITLE_ABS:""robot-assisted palpation"" OR TITLE_ABS:""autonomous palpation"" OR TITLE_ABS:""robot palpation"" OR TITLE_ABS:""tactile palpation robot"" OR TITLE_ABS:""robotic tactile examination""",22,22,2026-08-07,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,20
arXiv,R1,R,"((ti:""robotic palpation"" OR abs:""robotic palpation"") OR (ti:""robot-assisted palpation"" OR abs:""robot-assisted palpation"") OR (ti:""autonomous palpation"" OR abs:""autonomous palpation"") OR (ti:""robot palpation"" OR abs:""robot palpation"") OR (ti:""tactile palpation robot"" OR abs:""tactile palpation robot"") OR (ti:""robotic tactile examination"" OR abs:""robotic tactile examination"")) AND submittedDate:[190001010000 TO 202608062359]",6,6,2026-08-07,2026-08-06,https://export.arxiv.org/api/query?search_query=<QUERY>,5
OpenAlex,R2,R,"""robotic elastography"" OR ""robot-assisted elastography"" OR ""robotic ultrasound elastography"" OR ""robotic compression ultrasound"" OR ""robotic tissue stiffness mapping"" || robot elastography || robot tissue stiffness mapping || robot compression ultrasound",227,221,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,55
Europe PMC,R2,R,"TITLE_ABS:""robotic elastography"" OR TITLE_ABS:""robot-assisted elastography"" OR TITLE_ABS:""robotic ultrasound elastography"" OR TITLE_ABS:""robotic compression ultrasound"" OR TITLE_ABS:""robotic tissue stiffness mapping""",1,1,2026-08-07,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,7
arXiv,R2,R,"((ti:""robotic elastography"" OR abs:""robotic elastography"") OR (ti:""robot-assisted elastography"" OR abs:""robot-assisted elastography"") OR (ti:""robotic ultrasound elastography"" OR abs:""robotic ultrasound elastography"") OR (ti:""robotic compression ultrasound"" OR abs:""robotic compression ultrasound"") OR (ti:""robotic tissue stiffness mapping"" OR abs:""robotic tissue stiffness mapping"") OR (ti:""robot elastography"" OR abs:""robot elastography"") OR (ti:""robot tissue stiffness mapping"" OR abs:""robot tissue stiffness mapping"") OR (ti:""robot compression ultrasound"" OR abs:""robot compression ultrasound"")) AND submittedDate:[190001010000 TO 202608062359]",0,0,2026-08-07,2026-08-06,https://export.arxiv.org/api/query?search_query=<QUERY>,3
OpenAlex,R3,R,"""robotic joint examination"" OR ""robotic knee examination"" OR ""robotic shoulder examination"" OR ""robotic ankle examination"" OR ""robotic laxity testing"" OR ""robotic arthrometer"" OR ""robot-assisted joint assessment"" || robot joint laxity || robot arthrometer || robot joint examination",528,515,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,19
Europe PMC,R3,R,"TITLE_ABS:""robotic joint examination"" OR TITLE_ABS:""robotic knee examination"" OR TITLE_ABS:""robotic shoulder examination"" OR TITLE_ABS:""robotic ankle examination"" OR TITLE_ABS:""robotic laxity testing"" OR TITLE_ABS:""robotic arthrometer"" OR TITLE_ABS:""robot-assisted joint assessment""",2,2,2026-08-07,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,3
arXiv,R3,R,"((ti:""robotic joint examination"" OR abs:""robotic joint examination"") OR (ti:""robotic knee examination"" OR abs:""robotic knee examination"") OR (ti:""robotic shoulder examination"" OR abs:""robotic shoulder examination"") OR (ti:""robotic ankle examination"" OR abs:""robotic ankle examination"") OR (ti:""robotic laxity testing"" OR abs:""robotic laxity testing"") OR (ti:""robotic arthrometer"" OR abs:""robotic arthrometer"") OR (ti:""robot-assisted joint assessment"" OR abs:""robot-assisted joint assessment"") OR (ti:""robot joint laxity"" OR abs:""robot joint laxity"") OR (ti:""robot arthrometer"" OR abs:""robot arthrometer"") OR (ti:""robot joint examination"" OR abs:""robot joint examination"")) AND submittedDate:[190001010000 TO 202608062359]",0,0,2026-08-07,2026-08-06,https://export.arxiv.org/api/query?search_query=<QUERY>,1
OpenAlex,R4,R,"""robotic diagnostic percussion"" OR ""robot-assisted percussion examination"" OR ""automated percussion examination"" OR ""robotic chest percussion diagnosis"" || robot diagnostic percussion || robot percussion examination || robot acoustic percussion",38,28,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,2
